timestamp,Q,PQT1,PQT2
2020-05-13 16:00:00,162.1,161.25047,167.63907
2020-05-13 18:30:00,157.67,161.2955,167.89008
2020-05-13 19:00:00,167.13,166.51562,177.93228
2020-05-13 19:00:00,161.52,165.76065,176.0118
2020-05-13 19:30:00,164.33,165.5822,169.98494
2020-05-13 20:30:00,167.75,165.01656,171.6173
2020-05-13 21:00:00,167.36,163.43575,169.03923
2020-05-13 21:30:00,168.37,161.27544,167.97115
2020-05-13 22:00:00,171.72,163.12589,165.76927
2020-05-13 22:00:00,176.69,168.97919,165.36934
2020-05-13 22:30:00,171.09,164.67088,166.98608
2020-05-13 23:30:00,175.23,165.64012,165.63553
2020-05-14 07:00:00,149.99,149.4795,168.2861
2020-05-14 08:30:00,166.02,161.90625,157.89558
2020-05-14 13:00:00,178.29,176.10689,158.89899
2020-05-14 13:00:00,153.28,160.54164,175.00995
2020-05-14 13:30:00,164.9,160.98463,165.08058
2020-05-14 14:30:00,181.95,178.91583,177.0491
2020-05-14 15:00:00,184.36,184.23427,175.29114
2020-05-14 15:30:00,185.47,182.726,179.18396
2020-05-14 16:00:00,182.57,181.37883,177.76782
2020-05-14 16:00:00,185.19,182.5352,176.10338
2020-05-14 16:30:00,183.2,184.04102,175.48686
2020-05-14 17:30:00,187.17,185.18143,177.6284
2020-05-14 18:00:00,195.9,194.57814,178.44986
2020-05-14 18:30:00,190.55,188.81021,190.4385
2020-05-14 19:00:00,191.67,184.91629,176.04851
2020-05-14 19:00:00,190.06,185.06218,176.34587
2020-05-14 19:30:00,192.03,184.23932,177.9936
2020-05-14 20:30:00,191.85,183.40192,176.89111
2020-05-14 21:00:00,192.35,182.97145,175.0306
2020-05-14 21:30:00,192.45,182.87445,175.15393
2020-05-14 22:00:00,196.48,186.13388,174.56592
2020-05-14 22:00:00,198.33,188.61343,175.40117
2020-05-14 22:30:00,197.47,186.95966,177.2281
2020-05-14 23:30:00,195.31,185.38528,174.64377
2020-05-15 13:00:00,171.2,169.68799,173.44168
2020-05-15 13:00:00,191.82,182.36409,171.7735
2020-05-15 13:30:00,181.95,187.36685,176.95679
2020-05-15 14:30:00,194.46,185.68901,183.75703
2020-05-15 15:00:00,196.32,190.44926,179.89899
2020-05-15 15:30:00,196.5,186.58926,183.80247
2020-05-15 16:00:00,194.78,178.59354,175.93591
2020-05-15 16:00:00,193.28,176.36807,157.05713
2020-05-15 16:30:00,193.25,183.6161,159.85901
2020-05-15 18:00:00,197.95,188.61696,172.58122
2020-05-15 18:30:00,188.26,189.94397,185.22684
2020-05-15 19:00:00,189.67,182.32948,189.45065
2020-05-15 19:00:00,189.81,184.68372,174.15828
2020-05-15 19:30:00,190.49,183.95837,178.41444
2020-05-15 20:30:00,189.85,181.41977,176.23431
2020-05-15 21:00:00,189.27,180.96143,171.10239
2020-05-15 21:30:00,188.76,180.01146,169.99475
2020-05-15 22:00:00,191.36,182.3684,168.1069
2020-05-15 22:00:00,194.57,183.34654,170.2547
2020-05-15 22:30:00,192.74,181.27037,169.51479
2020-05-15 23:30:00,190.56,178.56862,164.05853
2020-05-16 00:00:00,184.52,166.84862,162.29622
2020-05-16 00:30:00,179.03,163.3021,155.70615
2020-05-16 01:00:00,174.71,161.28792,157.00424
2020-05-16 01:30:00,174.74,158.70428,160.02588
2020-05-16 13:00:00,167.54,160.50197,159.37581
2020-05-16 13:00:00,142.28,137.13509,159.08296
2020-05-16 13:30:00,153.85,148.46411,158.18416
2020-05-16 14:30:00,172.86,167.63394,183.80986
2020-05-16 15:00:00,176.16,173.22556,161.22655
2020-05-16 15:30:00,179.05,171.34068,167.63205
2020-05-16 16:00:00,179.5,170.7875,166.23993
2020-05-16 16:00:00,176.25,170.85487,163.97583
2020-05-16 16:30:00,176.96,169.45958,165.07643
2020-05-16 17:30:00,179.11,171.05078,165.81927
2020-05-16 18:00:00,180.77,173.7913,165.3194
2020-05-16 18:30:00,179.4,174.32233,166.82529
2020-05-16 19:00:00,179.68,169.6884,168.92148
2020-05-16 19:00:00,177.73,169.6828,168.10336
2020-05-16 19:30:00,178.47,172.28552,167.02197
2020-05-16 20:30:00,178.82,173.38911,168.4995
2020-05-16 21:00:00,179.15,170.62225,169.97775
2020-05-16 21:30:00,177.98,165.51237,166.90753
2020-05-16 22:00:00,175.74,166.02808,164.85243
2020-05-16 22:00:00,182.26,166.38116,167.56349
2020-05-16 22:30:00,178.64,164.64925,165.695
2020-05-17 13:00:00,164.73,158.28423,163.41202
2020-05-17 13:00:00,144.74,135.3092,161.70053
2020-05-17 13:30:00,151.29,149.98233,169.90923
2020-05-17 14:30:00,169.45,164.4686,188.28398
2020-05-17 15:00:00,169.62,169.31062,154.41394
2020-05-17 15:30:00,172.59,165.25116,168.03223
2020-05-17 16:00:00,173.59,165.45505,163.73154
2020-05-17 16:00:00,172.77,166.70067,162.67632
2020-05-17 16:30:00,173.57,166.58908,165.05067
2020-05-17 17:30:00,176.44,167.73444,165.39622
2020-05-17 18:00:00,180.29,172.23354,165.0597
2020-05-17 18:30:00,176.1,170.57117,167.62457
2020-05-17 19:00:00,175.41,165.9386,166.92549
2020-05-17 19:00:00,176.43,168.72612,163.49527
2020-05-17 19:30:00,176.76,168.26294,166.47267
2020-05-17 20:30:00,175.56,164.07283,166.91412
2020-05-17 21:00:00,176.28,164.36029,162.22942
2020-05-17 21:30:00,175.98,164.18697,163.2117
2020-05-17 22:00:00,179.5,166.88033,162.76799
2020-05-17 22:00:00,181.1,168.40619,165.92674
2020-05-17 22:30:00,180.96,166.67067,165.52333
2020-05-17 23:30:00,177.57,163.29771,163.38899
2020-05-18 07:00:00,153.5,148.2767,162.32971
2020-05-18 08:30:00,161.61,154.68155,161.8832
2020-05-18 09:00:00,167.3,166.19946,178.28716
2020-05-18 09:30:00,168.04,165.4876,165.04814
2020-05-18 10:00:00,172.01,164.31665,168.14969
2020-05-18 12:30:00,161.72,159.39545,163.34918
2020-05-18 13:00:00,159.18,164.34654,164.91286
2020-05-18 13:00:00,167.35,167.0828,177.60774
2020-05-18 13:30:00,161.08,160.11418,170.53722
2020-05-18 14:30:00,169.46,164.70036,163.31013
2020-05-18 15:00:00,174.55,173.11525,160.43909
2020-05-18 15:30:00,177.41,173.65697,168.70462
2020-05-18 16:00:00,182.93,174.0485,169.85678
2020-05-18 16:30:00,181.77,168.0897,169.65102
2020-05-18 18:00:00,174.11,163.8913,163.39456
2020-05-18 18:30:00,176.52,174.7228,161.43466
2020-05-18 19:00:00,182.23,174.94008,171.50093
2020-05-18 19:00:00,180.08,180.48279,170.16383
2020-05-18 19:30:00,180.65,178.44194,174.99182
2020-05-18 20:30:00,181.96,174.8222,172.40753
2020-05-18 21:00:00,182.03,173.9006,167.88655
2020-05-18 21:30:00,183.25,174.26079,167.4129
2020-05-18 22:00:00,187.32,176.26549,167.77425
2020-05-18 22:00:00,189.13,179.08693,166.2148
2020-05-18 22:30:00,188.58,177.11694,168.15663
2020-05-18 23:30:00,190.28,174.56421,165.39638
2020-05-19 08:30:00,173.07,165.19092,167.26701
2020-05-19 13:00:00,188.37,182.71529,164.72844
2020-05-19 13:00:00,168.32,175.62518,170.7953
2020-05-19 13:30:00,179.09,177.03671,174.85017
2020-05-19 14:30:00,191.17,186.4055,178.41481
2020-05-19 15:00:00,195.36,191.72491,183.67616
2020-05-19 15:30:00,197.46,193.4109,188.4514
2020-05-19 18:00:00,191.11,193.34798,188.6288
2020-05-19 18:30:00,193.52,191.96704,189.87134
2020-05-19 19:00:00,194.85,190.69482,191.39703
2020-05-19 19:00:00,195.33,192.85507,186.36229
2020-05-19 19:30:00,197.46,193.93353,189.63258
2020-05-19 20:30:00,194.15,190.73471,188.97395
2020-05-19 21:00:00,193.73,187.83575,181.46294
2020-05-19 21:30:00,191.31,184.96376,180.53484
2020-05-19 22:00:00,193.34,184.32733,167.97333
2020-05-19 22:00:00,193.03,187.76717,165.34326
2020-05-19 22:30:00,192.54,189.48589,177.66838
2020-05-19 23:30:00,193.55,190.3404,182.75764
2020-05-20 00:00:00,187.72,180.29103,183.48666
2020-05-20 00:30:00,182.84,173.41234,163.18372
2020-05-20 01:00:00,181.04,172.55023,163.3944
2020-05-20 08:30:00,163.3,162.26619,164.2706
2020-05-20 09:00:00,169.91,166.11786,161.4927
2020-05-20 09:30:00,171.08,169.3854,170.10278
2020-05-20 10:00:00,179.45,176.21136,168.97044
2020-05-20 10:30:00,179.06,176.87326,170.75232
2020-05-20 18:30:00,159.07,158.08406,172.32677
2020-05-20 19:00:00,171.17,168.96608,166.2773
2020-05-20 19:00:00,178.03,174.81291,165.86101
2020-05-20 19:30:00,174.43,176.41154,178.92322
2020-05-20 20:30:00,180.2,177.66078,175.19788
2020-05-20 21:00:00,182.69,180.37563,175.59839
2020-05-20 21:30:00,184.49,182.29956,179.87576
2020-05-20 22:00:00,191.55,188.70746,180.19229
2020-05-20 22:00:00,192.77,190.48709,185.31001
2020-05-20 22:30:00,192.3,189.90224,184.04802
2020-05-20 23:30:00,192.91,187.58066,183.92319
2020-05-21 00:00:00,187.38,179.93718,174.71022
2020-05-21 00:30:00,183.19,174.28836,165.4162
2020-05-21 01:00:00,179.45,173.96103,164.89134
2020-05-21 07:00:00,155.77,157.03526,167.61066
