timestamp,Q
2020-05-19 13:00:00,168.32
2020-05-19 13:30:00,179.09
2020-05-19 14:30:00,191.17
2020-05-19 15:00:00,195.36
2020-05-19 15:30:00,197.46
2020-05-19 18:00:00,191.11
2020-05-19 18:30:00,193.52
2020-05-19 19:00:00,194.85
2020-05-19 19:00:00,195.33
2020-05-19 19:30:00,197.46
2020-05-19 20:30:00,194.15
2020-05-19 21:00:00,193.73
2020-05-19 21:30:00,191.31
2020-05-19 22:00:00,193.34
2020-05-19 22:00:00,193.03
2020-05-19 22:30:00,192.54
2020-05-19 23:30:00,193.55
2020-05-20 00:00:00,187.72
2020-05-20 00:30:00,182.84
2020-05-20 01:00:00,181.04
2020-05-20 08:30:00,163.3
2020-05-20 09:00:00,169.91
2020-05-20 09:30:00,171.08
2020-05-20 10:00:00,179.45
2020-05-20 10:30:00,179.06
2020-05-20 18:30:00,159.07
2020-05-20 19:00:00,171.17
2020-05-20 19:00:00,178.03
2020-05-20 19:30:00,174.43
2020-05-20 20:30:00,180.2
2020-05-20 21:00:00,182.69
2020-05-20 21:30:00,184.49
2020-05-20 22:00:00,191.55
2020-05-20 22:00:00,192.77
2020-05-20 22:30:00,192.3
2020-05-20 23:30:00,192.91
2020-05-21 00:00:00,187.38
2020-05-21 00:30:00,183.19
2020-05-21 01:00:00,179.45
2020-05-21 07:00:00,155.77
2020-05-21 13:00:00,162.93
2020-05-21 13:00:00,186.52
2020-05-21 13:30:00,173.93
2020-05-21 14:30:00,190.47
2020-05-21 15:00:00,193.25
2020-05-21 15:30:00,194.08
2020-05-21 16:00:00,193.03
2020-05-21 16:30:00,192.21
2020-05-21 18:00:00,183.64
2020-05-21 18:30:00,180.18
2020-05-21 19:00:00,180.73
2020-05-21 19:00:00,179.65
2020-05-21 19:30:00,180.14
2020-05-21 20:30:00,180.47
2020-05-21 21:00:00,180.09
2020-05-21 21:30:00,180.2
2020-05-21 22:00:00,183.7
2020-05-21 22:30:00,182.45
2020-05-22 07:00:00,154.03
2020-05-22 08:30:00,163.86
2020-05-22 09:00:00,168.5
2020-05-22 09:30:00,172.22
2020-05-22 10:00:00,183.81
2020-05-22 10:00:00,183.58
2020-05-22 10:30:00,183.73
2020-05-22 11:30:00,182.15
2020-05-22 13:00:00,186.35
2020-05-22 13:00:00,174.33
2020-05-22 13:30:00,174.81
2020-05-22 14:30:00,188.17
2020-05-22 15:00:00,191.31
2020-05-22 15:30:00,191.89
2020-05-22 18:30:00,180.72
2020-05-22 19:00:00,175.54
2020-05-22 19:00:00,175.85
2020-05-22 19:30:00,176.97
2020-05-22 20:30:00,176.54
2020-05-22 21:00:00,175.75
2020-05-22 21:30:00,176.88
2020-05-22 22:00:00,184.64
2020-05-22 22:00:00,184.59
2020-05-22 22:30:00,184.64
2020-05-23 13:00:00,157.31
2020-05-23 13:00:00,183.37
2020-05-23 13:30:00,164.65
2020-05-23 14:30:00,186.06
